NER_Label,Entity,Counts
B-ORG,barito,10
B-ORG,baritopacific,5
B-ORG,barro,1
B-ORG,bas,1
B-ORG,basa,6
B-ORG,basar,1
B-ORG,basarnas,4
B-ORG,basel,2
B-ORG,basir,4
B-ORG,basli,1
B-ORG,basuki,10
B-ORG,basukitjahaja,1
B-ORG,bat,30
B-ORG,batam,15
B-ORG,batampenandatanganan,1
B-ORG,batamplnbatam,1
B-ORG,batan,1
B-ORG,batang,17
B-ORG,batanghari,1
B-ORG,baterairi,4
B-ORG,bateri,2
B-ORG,batrai,1
B-ORG,batteroenergycoltd,1
B-ORG,batterychargingstation,1
B-ORG,batteryswappingstation,1
B-ORG,batu,7
B-ORG,batubara,7
B-ORG,batubarariadvertisementscroll,2
B-ORG,bau,49
B-ORG,bauran,21
B-ORG,bauranebt,2
B-ORG,bauranebtpln,1
B-ORG,bauranenergi,20
B-ORG,bauranenergiprimer,1
B-ORG,bawa,7
B-ORG,baya,1
B-ORG,bayan,7
B-ORG,bayu,19
B-ORG,bazar,1
B-ORG,bb,21
B-ORG,bbc,2
B-ORG,bbca,2
B-ORG,bbg,8
B-ORG,bbk,1
B-ORG,bbn,3
B-ORG,bbni,4
B-ORG,bbplk,1
B-ORG,bbplk)serang,1
B-ORG,bbplkserang,2
B-ORG,bbri,12
B-ORG,bbws,1
B-ORG,bbws),1
B-ORG,bca,4
B-ORG,bcfd,1
B-ORG,bcindonesia,1
B-ORG,bd,11
B-ORG,bdg,1
B-ORG,beb,2
B-ORG,beberk,1
B-ORG,beberkan,3
B-ORG,becis,1
B-ORG,beda,1
B-ORG,begawanbumn,2
B-ORG,bei,61
B-ORG,bei),1
B-ORG,beijing,2
B-ORG,bej,1
B-ORG,bek,1
B-ORG,belanda,3
B-ORG,belitung,3
B-ORG,bell,9
B-ORG,belu,1
B-ORG,ben,1
B-ORG,bendung,2
B-ORG,bendungan,1
B-ORG,bendungan-,1
B-ORG,bendunganbesar,1
B-ORG,bengkak,1
B-ORG,bengkulu,1
B-ORG,benj,2
B-ORG,benny,3
B-ORG,beno,2
B-ORG,beras,5
B-ORG,beraudiensi,1
B-ORG,berdas,1
B-ORG,berdikari,1
B-ORG,berebut,1
B-ORG,bergotongroyong,1
B-ORG,berhadapan,1
B-ORG,berjaya,1
B-ORG,berkeleyenergycommercialindustry,1
B-ORG,berkompet,1
B-ORG,berli,3
B-ORG,berlin,1
B-ORG,bersaingketat,1
B-ORG,bersamajepang,1
B-ORG,bersih,8
B-ORG,bersin,1
B-ORG,bersinergi,2
B-ORG,bertahap,1
B-ORG,bertenorlima,2
B-ORG,bess,7
B-ORG,best,1
B-ORG,bestworkplaceenvironment,1
B-ORG,beyond,3
B-ORG,beyondcoal,2
B-ORG,bg,1
B-ORG,bhakti,2
B-ORG,bhasw,1
B-ORG,bhuk,1
B-ORG,bhuktimukti,1
B-ORG,bhuwana,1
B-ORG,bi,8
B-ORG,biang,1
B-ORG,bicarapotensibesarekonomidigitalri,1
B-ORG,bid,14
B-ORG,bidang,1
B-ORG,bidangtatakelolamineraldanbatubara,1
B-ORG,biden,1
B-ORG,bidik,1
B-ORG,bigrestart,2
B-ORG,bigvision,2
B-ORG,bill,4
B-ORG,billy,1
B-ORG,bima,3
B-ORG,bimasenaenergyteam,2
B-ORG,bin,30
B-ORG,bina,1
B-ORG,binakarna,1
B-ORG,binary,1
B-ORG,binsar,2
B-ORG,binsarpand,1
B-ORG,bintan,11
B-ORG,bintang,1
B-ORG,bio,4
B-ORG,biodiesel,2
B-ORG,bioetanol,1
B-ORG,bioethanol,1
B-ORG,biogass,2
B-ORG,bird,8
B-ORG,biro,21
B-ORG,birokomunikasi,5
B-ORG,birokomunikasilayananinformasipublik,1
B-ORG,birokomunikasipublik,1
B-ORG,birol,1
B-ORG,birostatistiktenagakerja,1
B-ORG,bisnis,1
B-ORG,bisnisbatu,1
B-ORG,bisnisunitheadspbuteras,1
B-ORG,biznetnetworks,1
B-ORG,bjtiport,1
B-ORG,bk,22
B-ORG,bke,1
B-ORG,bkpm,65
B-ORG,bkpmbahlil,5
B-ORG,bkpmri,3
B-ORG,bks,2
B-ORG,bl,3
B-ORG,bla,4
B-ORG,black&veatch,2
B-ORG,blair,1
B-ORG,blak,5
B-ORG,blendedfinance,2
B-ORG,blk,4
B-ORG,blkambon,1
B-ORG,blkternate,1
B-ORG,blog,1
B-ORG,blok,13
B-ORG,blokbrantas,1
B-ORG,blokmigas,1
B-ORG,blokmigasbrantas,1
B-ORG,bloomberg,1
B-ORG,blora,1
B-ORG,blu,5
B-ORG,blue,11
B-ORG,bluebird,2
B-ORG,blusu,1
B-ORG,bm,2
B-ORG,bmn,9
B-ORG,bmri,5
B-ORG,bmtr,6
B-ORG,bmw,1
B-ORG,bn,2
B-ORG,bndcc,4
B-ORG,bni,9
B-ORG,bnpb,2
B-ORG,bo,2
B-ORG,bob,2
B-ORG,bobby,3
B-ORG,bobsaril,2
B-ORG,boj,1
B-ORG,bombardier,1
B-ORG,bondowoso,1
B-ORG,bone,2
B-ORG,bontang,5
B-ORG,bontomana,1
B-ORG,boot,4
B-ORG,borisdojaya,1
B-ORG,borobudur,1
B-ORG,bos,2
B-ORG,bosfacebook,2
B-ORG,bospertamina,2
B-ORG,bottom,1
B-ORG,bousted,1
B-ORG,box,5
B-ORG,boy,22
B-ORG,boyke,1
B-ORG,boykeabidin,1
B-ORG,boyolali,1
B-ORG,bp,58
B-ORG,bpbatam,1
B-ORG,bpbl,1
B-ORG,bpd,4
B-ORG,bpebt,3
B-ORG,bpj,1
B-ORG,bpjt,6
B-ORG,bpk,4
B-ORG,bpkm,3
B-ORG,bpn,1
B-ORG,bpp,13
B-ORG,bpp)rata-ratalistrik,2
B-ORG,bpp-,1
B-ORG,bppt,23
B-ORG,bps,12
B-ORG,bpsdm,1
B-ORG,bpstatisticalreview,1
B-ORG,br,5
B-ORG,brantas,15
B-ORG,brantasabipraya,1
B-ORG,brantascakrawalaenergi,1
B-ORG,brantasenergi,1
B-ORG,brasil,3
B-ORG,brata,2
B-ORG,brawijaya,2
B-ORG,brazil,2
B-ORG,bre,2
B-ORG,break,1
B-ORG,bren,4
B-ORG,bri,92
B-ORG,brianreynolds,2
B-ORG,brief,1
B-ORG,bright,2
B-ORG,brightplnbatam,8
B-ORG,brigjen,1
B-ORG,bripkaada,2
B-ORG,bro,2
B-ORG,brodjonegoro,1
B-ORG,brookes,3
B-ORG,brown,1
B-ORG,brpt,8
B-ORG,bruneidarussalam,2
B-ORG,bruneifa,1
B-ORG,bs,8
B-ORG,bsi,1
